Mần năng?,Làm sao?
Chạn,"Thanh ngang dùng để úp nồi,..."
Cụi,"Nơi để thức ăn thừa, đồ khô"
Đui,Mù
Ẻ,Đại tiện
Trêu ngai,Chọc giận người khác
Nác đấy,Nước tiểu
Cục kít,Cục phân
Ghen,Mủ mắt
Lọ nghẹ,"Phần cháy, tạo thành mảng đen ở đáy nồi"
Cấy vòi,Ống hút
Cấy đụa,Cái đũa/ Đôi đũa
Cấy khu mấn!,Đời á!/ Có lẽ á!(ý là người đối diện đang bốc phét)
Néc,Nách
Khu,Mông
Nịt,Thắt lưng
Thịt cầy,Thịt chó
Bỏ mối,Bán sỉ
Mót,"Chắt nhặt, nhặt nhụm"
Bénh,Bánh
Cấy xỉa,Cái nĩa
Cấy địa,Cái đĩa
Riệu,Rượu
Rót (nước),Đổ nước
Nhút ngọn độ,Lá đậu non phơi khô rồi ướp muối
Trẹ (2),Tránh ra
Lô,Kg
Mần chắc,Làm nhau
Béc,"Banh ra, phanh ra"
Goòng,"Xe lửa có 2-3 toa, của Pháp để lại"
Nồi bộông,Nồi đất to
Cồi,Phần nối giữa quả và cành cây hư
Tra,Già
Răng ri?,Sao thế?
Hói nhỏ,Rạch nước
Thầy xuất,Đi tu nhưng chưa tốt nghiệp
Nham chua,"Nộm, gỏi"
Cặc,Bộ phận sinh dục nam
Chụt,Bộ phận sinh dục nữ
Trao tráo,Chim sáo non
Cột,Buộc
Nương,Vườn
(Sinh) Trơi,Xấu hổ
Nỏ ra răng,"Chả ra sao, không được việc"
Chưởi,Chửi
Tớt mít,Phần vỏ có gai của mít
Vọng xang,Chõng tre không chân mà treo lên
Cấy vọng,Cái võng
Cấy dờng,Cái giường
Cươi,Sân
Mì,Sắn
Dừ,Giờ
Sốông,Sống
Dự,Giữ
Eng,Anh
Cấy tréo,GhéGhế tựa
Đượng (ngô),Bãi trồng (ngô)
Tắt,Quả thuộc họ quýt
Nót,Nuốt
Trài,Mụn
Sài,Mụn
Moi,Móc
Tôm moi,Tép riêu
Rú,Rừng
Chàng phày,Loại tre thân nhỏ
Bọ,Bố
Thầy,Bố
Trập vá,Đùi
Ngá,Nghứa
Chạc tra,Dây đay rừng
Ló,Lúa
Bôi bác,Không đúng đắn
Trỉa,Tỉa
Con hầu,"Người giúp việc, đầy tớ"
Con ở,"Người giúp việc, đầy tớ"
Đứa ở,"Người giúp việc, đầy tớ"
Thằng ở,"Người giúp việc, đầy tớ"
Con sen,"Người giúp việc, đầy tớ"
Đi đấy,Đi tiểu tiện
Đá ban,Đá bóng
Nhác,Lười
Nói nát,"Nói dóc, nói lí cùn"
"Khía (cam,...)","Múi (cam,...)"
Lộ (2),Chỗ
Lộ (1),Lỗ
Bửa,Bổ
Nói láp,Nói dối
"Rèo tru, bò","Chăn trâu, bò"
Dới,Dưới
Trửa,Giữa
Đách,Không
Lia,Ném
Đít,Mông
Khoát nác,Tát nước
Túi,Tối
Bâu,Túi
Cân nít,Trẻ con
Tru bạc,Trâu lông trắng
Đằm,Tắm
Hè,Nhỉ
Ni,Này
Nốc,"Thuyền, đò ngang"
Trét,Bôi 
Ngài nóc,"Người nhỏ, loắt choắt"
Nhuốt,Nhột
Vàng,Vung nồi
Báng,Húc
Trọi,Chọi
Lưa,Còn
Trỉa sạu,Gieo hạt ngô
Đi rào,Ra sông
Choẹt,"Ướt, nhão"
Đồ xắt mấn,"Ý nói đàn ông nhỏ nhen, không ra gì"
Mấn,Váy
Xắt,Cắt
Tắn,Rắn
Bể,Vỡ
Tắc,Nghẽn 
Cân ga,Con gà
Mềnh,Mình 
Đốc,Lật lên
Nấn,Ấn
Bộng,Lỗ
Chạc giang,Lạt làm từ cây giang non
Tau,Tao
Bét,Cuối
Nựa,Nữa
Nhít (2),Nhất
Bánh tráng,Bánh đa vừng
Vô,Vào
Lọc,Luộc
Cựa,Cửa
Cùn (2),Quần
Chộ (2),"Chỗ (ngồi,...)"
Mần mại i rứa!,Làm lâu thế!
Chin,Chân
Cấy môi,Cái muỗng
Cấy cạu,Cái rổ
Cenh,Canh
Cại,Cãi
Bù rợ,Bí đỏ
Cắm,Cắn
Cả/Bả nhả,Còn nhiều
Ăn phúng,Ăn vụng
Bẹo ,Véo
Vống,Vụng về
Choa,Bọn tôi
Nhởi,Chơi
Ngái,Xa
Rầy,Xấu hổ
"Méng (bánh,...)","Miếng (bánh,...)"
Sèm,Thèm
Mắc,Bận 
Cấn,"Lồi lên, chiếm không gian"
Cân bẹp,Bé gái
Thằng cu,Bé trai
Bì tải,Bao tải
Đàng đi,Đường đi
Nhọc,Mệt
Một chắc,Một mình
Yêu chắc,Yêu nhau
Cùn (1),"Không sắc, bị mòn"
Chủi,Chổi
Răng rứa?,Sao thế?
Cổi,Cởi
Cảy,Sưng
Cộ,Cũ
Nhớp,Bẩn
Rớt,Rơi
Để chị cọng!,Để chị cõng
Cấy đòn,"Ghế nhỏ, cao  tầm 15cm"
Trụng qua,Nhúng qua
Đọt cây,"Phần cao nhất, có chồi non mọc "
Xỏ lá,Bịp bợm
Bổ,Ngã
Ruốc,Mắm tôm
Bựa ni,Bữa nay
Được đích ri thôi à?,Được tí thế thôi à?
Thúi,Thối
Rom,Gầy
Trọ,sọ
Cân ngài,Con người
Nựa,Nữa
Bày,Chỉ dạy
Nớ,Đó
Nác,Nước
Cơn,Cây
Chộ (1),Thấy
Vụ,Vú
Cấy be,Cái chai
Rít,Cảm giác khó chịu khi lâu ngày không tắm
Nhít (1),Kì cọ
Trẹ sang,Rẽ sang
Mói,Muối
Bà bù,Phụ nữ mang thai
